patient,model_type,bit_width,event_average_detection_delay,event_sensitivity,event_false_detections_per_hour
1,bit_width_8,8.0,9.666666666666666,100.0,6.7227709243235445
2,bit_width_8,8.0,-11.4,83.33333333333333,10.87786130027686
3,bit_width_8,8.0,6.333333333333333,100.0,8.170672648933518
4,bit_width_8,8.0,-4.0,100.0,9.153404692706246
5,bit_width_8,8.0,6.8,71.42857142857143,4.848269798878351
6,bit_width_8,8.0,11.0,25.0,4.9159680228185785
7,bit_width_8,8.0,0.1,95.0,7.820162676722857
8,bit_width_8,8.0,10.833333333333334,19.23076923076923,4.14678597163524
9,bit_width_8,8.0,17.458333333333332,72.72727272727273,9.383348566102567
10,bit_width_8,8.0,-4.8,100.0,5.933721337020204
11,bit_width_8,8.0,2.443877551020408,100.0,1.5642000892622374
12,bit_width_8,8.0,4.0,66.66666666666667,0.6666666666666666
13,bit_width_8,8.0,-9.555555555555555,75.0,10.52518580830007
14,bit_width_8,8.0,-4.666666666666667,58.8235294117647,7.904139542293281
15,bit_width_8,8.0,-10.2,100.0,7.8072216649949855
16,bit_width_8,8.0,-30.0,75.0,10.183430111277826
17,bit_width_8,8.0,-15.5,60.0,5.977449183830517
18,bit_width_8,8.0,-10.666666666666666,100.0,4.13588368699948
19,bit_width_8,8.0,23.0,66.66666666666667,2.104109327900299
20,bit_width_8,8.0,-9.2,100.0,6.826221616342115
21,bit_width_8,8.0,2.4,100.0,7.465173405148154
22,bit_width_8,8.0,-2.4285714285714284,92.85714285714286,4.146966381954413
23,bit_width_8,8.0,23.0,33.333333333333336,6.634091906360154
24,bit_width_8,8.0,-17.5,57.142857142857146,8.60167750304458
25,bit_width_8,8.0,12.5,71.42857142857143,9.596630919089664
26,bit_width_8,8.0,-8.75,94.44444444444444,11.035443888561629
27,bit_width_8,8.0,10.5,76.47058823529412,7.097296152020703
28,bit_width_8,8.0,-15.75,70.58823529411765,10.805740060910825
29,bit_width_8,8.0,3.2,100.0,6.371998788486926
30,bit_width_8,8.0,8.6,100.0,2.780443714050945
31,bit_width_8,8.0,57.5,40.0,4.9487589209926455
32,bit_width_8,8.0,4.2727272727272725,100.0,3.9641027512462617
33,bit_width_8,8.0,-9.0,100.0,7.927649441469001
34,bit_width_8,8.0,46.0,33.333333333333336,3.6666666666666665
35,bit_width_8,8.0,9.0,100.0,6.258100211007702
36,bit_width_8,8.0,5.333333333333333,42.857142857142854,5.502681048689103
37,bit_width_8,8.0,0.2,100.0,10.949449335300901
38,bit_width_8,8.0,4.818181818181818,100.0,8.015507182290287
39,bit_width_8,8.0,4.285714285714286,100.0,7.931201752115643
40,bit_width_8,8.0,-4.0,100.0,9.383859958550074
41,bit_width_8,8.0,-9.333333333333334,75.0,7.469415918982287
42,bit_width_8,8.0,-13.53125,100.0,10.79123508311062
43,bit_width_8,8.0,12.272727272727273,91.66666666666667,4.4791099774941125
44,bit_width_8,8.0,-10.142857142857142,87.5,8.60153093996106
